Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2005 [YR2005]
Slovak Republic,SVK,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,49.1444995145563
Slovenia,SVN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,92.7546007129655
Solomon Islands,SLB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Somalia,SOM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
South Africa,ZAF,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,72.0409135857388
SOUTH AMERICA,SAM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,50.1510867405194
Spain,ESP,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,110.289228192661
Sri Lanka,LKA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,17.0758799692341
St. Kitts and Nevis,KNA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
St. Lucia,LCA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
St. Vincent and the Grenadines,VCT,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Sudan,SDN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,41.4259560528967
Suriname,SUR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Sweden,SWE,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,161.425815197769
Switzerland,CHE,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,193.767224564258
Syrian Arab Republic,SYR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,25.5206999081528
"Taiwan, China",TWN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,33.5167683022256
Tajikistan,TJK,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,8.60116037120812
Tanzania,TZA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,13.2327731753019
Thailand,THA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,25.5299823993541
Timor-Leste,TMP,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Togo,TGO,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,58.5819583341965
Tonga,TON,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Trinidad and Tobago,TTO,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Tunisia,TUN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,46.6262574391014
Turkey,TUR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,75.7541135995473
Turkmenistan,TKM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Uganda,UGA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,27.1136940136369
Ukraine,UKR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,22.4801660441793
United Arab Emirates,ARE,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
United Kingdom,GBR,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,145.864100552748
United States,USA,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,186.43305618315
Uruguay,URY,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,54.9099286969722
Uzbekistan,UZB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
Vanuatu,VUT,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
"Venezuela, RB",VEN,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,53.9883378907695
Vietnam,VNM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,13.0297486603642
WESTERN ASIA,WAS,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,34.7733882515363
WORLD,WLD,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,100
"Yemen, Rep.",YEM,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,20.3103563814863
Zambia,ZMB,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,44.2520539305564
Zimbabwe,ZWE,Price level index (world = 100),PX.WL,9080000:HEALTH (Analytical Category),9080000,..
,,,,,,
,,,,,,
,,,,,,
Data from database: International Comparison Program (ICP) 2005,,,,,,
Last Updated: 09/10/2021,,,,,,
